trial,.vocabulary_dim,rpa,spa,vrpa,vspa
FFSequence-017-0827d278,5000,0.9922831689658255,0.9838214700889684,0.9428129830693195,0.8914516705733079
FFSequence-016-ba8a714a,3000,0.9910913803891189,0.9792926734797247,0.9413862800133269,0.8891927238353126
FFSequence-015-1f2913f9,1000,0.9864731996898993,0.9687155498667823,0.9226013552687593,0.870645583136557
